pipeline,class,source,band,band_low_hz,band_high_hz,mean_energy_db,median_energy_db,std_energy_db,n_segments_or_windows
p0_c1_particles2SNR,2um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,-50.53650399801725,-49.72493480468904,4.635440929525638,771
p0_c1_particles2SNR,2um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,-41.814452003709135,-41.158400539533275,4.171918417253002,771
p0_c1_particles2SNR,2um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,-45.194937933098004,-44.43666251643249,4.4043789796714305,771
p0_c1_particles2SNR,2um,dataset_noise_windows,80 kHz-Nyq,80000.0,,-59.521543432974404,-58.85373688127554,4.138648569410031,771
p0_c1_particles2SNR,4um,particle_labels,0-1 kHz,0.0,1000.0,-74.72180753496951,-74.21475372127551,11.87388044127803,1645
p0_c1_particles2SNR,4um,particle_labels,1-7 kHz,1000.0,7000.0,-57.09173883152271,-56.93356098828093,5.486762038948909,1645
p0_c1_particles2SNR,4um,particle_labels,7-10 kHz,7000.0,10000.0,-50.01355942927216,-47.4622913577019,25.30705043365167,1645
p0_c1_particles2SNR,4um,particle_labels,10-40 kHz,10000.0,40000.0,-32.235358696194595,-37.55532608238805,8.77242129120175,1645
p0_c1_particles2SNR,4um,particle_labels,40-80 kHz,40000.0,80000.0,-43.514490838072234,-43.70129963850062,1.686457295680678,1645
p0_c1_particles2SNR,4um,particle_labels,80 kHz-Nyq,80000.0,,-58.8078483255429,-58.76693907759573,1.9872664939927034,1645
p0_c1_particles2SNR,4um,dataset_noise_windows,0-1 kHz,0.0,1000.0,-85.95697529450305,-84.39919114274345,9.794551481306355,425
p0_c1_particles2SNR,4um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,-61.219008514199686,-60.50179081162825,4.59177351107164,425
p0_c1_particles2SNR,4um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,-50.60651046003171,-49.72749409781144,5.112321824407922,425
p0_c1_particles2SNR,4um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,-41.864478821696366,-41.137938151390905,4.468834591378299,425
p0_c1_particles2SNR,4um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,-45.26497630414613,-44.417829569671824,4.640229534750324,425
