pipeline,class,doppler_band,particle_label_doppler_band_energy_pct,dataset_noise_doppler_band_energy_pct,standalone_noise_doppler_band_energy_pct,delta_dataset_noise_minus_standalone_pct,particle_dominant_band,dataset_noise_dominant_band,dominant_band_overlap,particle_dataset_noise_distribution_overlap_pct
yolo_v3_old_pipeline,2um,10-40 kHz,88.51856844468277,63.99592962408515,59.81600495483189,4.179924669253261,10-40 kHz,10-40 kHz,True,75.47736117940238
yolo_v3_old_pipeline,4um,10-40 kHz,96.75006029757648,64.02966692653617,59.81315758094072,4.216509345595448,10-40 kHz,10-40 kHz,True,67.27960662895968
yolo_v3_old_pipeline,10um,10-40 kHz,87.93538833128738,64.02966692653617,59.81315758094072,4.216509345595448,10-40 kHz,10-40 kHz,True,76.0942785952488
p0_c1_particles2SNR,2um,10-40 kHz,66.55307814393724,60.53030000388767,59.81600495483189,0.714295049055778,10-40 kHz,10-40 kHz,True,90.23508942199236
p0_c1_particles2SNR,4um,10-40 kHz,77.3179045630404,60.61528513786314,59.81315758094072,0.8021275569224215,10-40 kHz,10-40 kHz,True,83.17293755471368
p0_c1_particles2SNR,10um,10-40 kHz,67.01891372053117,60.61528513786314,59.81315758094072,0.8021275569224215,10-40 kHz,10-40 kHz,True,89.81235307070352
p0_c1_clean_7_80_khz,2um,10-40 kHz,83.96709355280328,65.71090386939701,59.81600495483189,5.894898914565125,10-40 kHz,10-40 kHz,True,81.72789417959379
p0_c1_clean_7_80_khz,4um,10-40 kHz,96.88138809948119,65.72492199577668,59.81315758094072,5.9117644148359645,10-40 kHz,10-40 kHz,True,68.83573195657785
p0_c1_clean_7_80_khz,10um,10-40 kHz,82.04589662862566,65.72492199577668,59.81315758094072,5.9117644148359645,10-40 kHz,10-40 kHz,True,83.23395784411413
