pipeline,class,source,band,band_low_hz,band_high_hz,mean_pct,std_pct,n_files,n_windows
new,4um,candidate_noise_from_particle_signals,7-10 kHz,7000.0,10000.0,nan,nan,0,0
new,4um,candidate_noise_from_particle_signals,10-40 kHz,10000.0,40000.0,nan,nan,0,0
new,4um,candidate_noise_from_particle_signals,40-80 kHz,40000.0,80000.0,nan,nan,0,0
new,4um,candidate_noise_from_particle_signals,80 kHz-Nyq,80000.0,,nan,nan,0,0
new,4um,standalone_noise_folder,0-1 kHz,0.0,1000.0,88.52637317744089,6.002824834107258,305,3965
new,4um,standalone_noise_folder,1-7 kHz,1000.0,7000.0,4.28919861628445,2.249052741294075,305,3965
new,4um,standalone_noise_folder,7-10 kHz,7000.0,10000.0,0.8222666564677422,0.4831877942766495,305,3965
new,4um,standalone_noise_folder,10-40 kHz,10000.0,40000.0,3.225191703434922,1.725835333783749,305,3965
new,4um,standalone_noise_folder,40-80 kHz,40000.0,80000.0,1.8246456222039051,0.998366043044151,305,3965
new,4um,standalone_noise_folder,80 kHz-Nyq,80000.0,,1.3123242241680924,0.6946209409354368,305,3965
new,10um,candidate_noise_from_particle_signals,0-1 kHz,0.0,1000.0,nan,nan,0,0
new,10um,candidate_noise_from_particle_signals,1-7 kHz,1000.0,7000.0,nan,nan,0,0
new,10um,candidate_noise_from_particle_signals,7-10 kHz,7000.0,10000.0,nan,nan,0,0
new,10um,candidate_noise_from_particle_signals,10-40 kHz,10000.0,40000.0,nan,nan,0,0
new,10um,candidate_noise_from_particle_signals,40-80 kHz,40000.0,80000.0,nan,nan,0,0
new,10um,candidate_noise_from_particle_signals,80 kHz-Nyq,80000.0,,nan,nan,0,0
new,10um,standalone_noise_folder,0-1 kHz,0.0,1000.0,88.52637317744089,6.002824834107258,305,3965
new,10um,standalone_noise_folder,1-7 kHz,1000.0,7000.0,4.28919861628445,2.249052741294075,305,3965
new,10um,standalone_noise_folder,7-10 kHz,7000.0,10000.0,0.8222666564677422,0.4831877942766495,305,3965
new,10um,standalone_noise_folder,10-40 kHz,10000.0,40000.0,3.225191703434922,1.725835333783749,305,3965
new,10um,standalone_noise_folder,40-80 kHz,40000.0,80000.0,1.8246456222039051,0.998366043044151,305,3965
new,10um,standalone_noise_folder,80 kHz-Nyq,80000.0,,1.3123242241680924,0.6946209409354368,305,3965
