dataset,class,n_particles,mean_snr_db,median_snr_db,p10_snr_db,p90_snr_db
old_dataset_particles2SNR,2um,428,-6.694720736028386,-5.778424507789361,-11.750281349166094,-3.5984449290789797
old_dataset_particles2SNR,4um,543,-6.248663563483421,-5.896646974094761,-7.427628749692634,-4.9061181334090405
old_dataset_particles2SNR,10um,825,-7.864053792997303,-8.044394903789042,-13.14086561573067,-3.314236503239374
new_c1_particles2SNR,2um,18418,-11.837130999136676,-12.49234324447608,-16.043359821792713,-7.1067935234880215
new_c1_particles2SNR,4um,8133,-8.143958360022559,-11.446176401986543,-16.228400385470685,4.687670717353836
new_c1_particles2SNR,10um,8163,-9.405035074109495,-11.564327053335202,-15.384322717924041,1.5864478360549839
