dataset,class,n_particles,mean_snr_db,median_snr_db,p10_snr_db,p90_snr_db
P0 original particles2SNR,2um,81,-5.545599948054925,-5.081611812011845,-7.702990337439742,-3.60304878616063
P0 original particles2SNR,4um,107,-6.073147980480987,-5.764805742724334,-7.385844120295055,-4.987302717654594
P0 original particles2SNR,10um,170,-7.9767858374455125,-8.359603294672786,-12.68765946701442,-3.1910002405764915
P0 C1 particles2SNR,2um,3622,-11.79958273410003,-12.491757108936222,-16.09644830639655,-6.929895737722317
P0 C1 particles2SNR,4um,1645,-8.417891535503237,-11.660369835102298,-16.31011629623051,4.618907166754063
P0 C1 particles2SNR,10um,1638,-9.629978244628177,-11.761160999846707,-15.419141553900902,1.1880264018519187
P0 C1 clean + 7-80 kHz,2um,1026,-7.425036162676662,-8.786898749208643,-13.70894637019209,1.1873888447965215
P0 C1 clean + 7-80 kHz,4um,767,-1.44875801731508,0.2589339785637285,-13.099396765293564,8.563878824123899
P0 C1 clean + 7-80 kHz,10um,706,-2.235329023783473,-1.151852948422769,-12.73781708008377,6.885782566676223
