pipeline,class,doppler_band,particle_label_doppler_band_energy_pct,dataset_noise_doppler_band_energy_pct,standalone_noise_doppler_band_energy_pct,delta_dataset_noise_minus_standalone_pct,particle_dominant_band,dataset_noise_dominant_band,dominant_band_overlap,particle_dataset_noise_distribution_overlap_pct
yolo_v3_old_pipeline,2um,10-40 kHz,70.95800389106986,19.110337246909324,19.015445939511526,0.09489130739779839,10-40 kHz,0-1 kHz,False,45.51608213376917
yolo_v3_old_pipeline,4um,10-40 kHz,92.95234882606773,19.178018377808385,19.040602683678586,0.1374156941297997,10-40 kHz,0-1 kHz,False,26.225669551740648
yolo_v3_old_pipeline,10um,10-40 kHz,72.16158470945642,19.178018377808385,19.040602683678586,0.1374156941297997,10-40 kHz,0-1 kHz,False,44.12313240044039
p0_c1_particles2SNR,2um,10-40 kHz,30.165195716831015,8.653513254106644,19.015445939511526,-10.361932685404883,10-40 kHz,0-1 kHz,False,48.805505628171474
p0_c1_particles2SNR,4um,10-40 kHz,51.49193277148879,8.86135892658065,19.040602683678586,-10.179243757097936,10-40 kHz,0-1 kHz,False,45.61896482774965
p0_c1_particles2SNR,10um,10-40 kHz,21.516789955595257,8.86135892658065,19.040602683678586,-10.179243757097936,1-7 kHz,0-1 kHz,False,62.55916212407674
p0_c1_clean_7_80_khz,2um,10-40 kHz,81.86813301669734,61.00417489657168,19.015445939511526,41.98872895706016,10-40 kHz,10-40 kHz,True,79.11582497058589
p0_c1_clean_7_80_khz,4um,10-40 kHz,96.49512949062094,61.01944284098499,19.040602683678586,41.97884015730641,10-40 kHz,10-40 kHz,True,64.51069485048001
p0_c1_clean_7_80_khz,10um,10-40 kHz,78.76543282346681,61.01944284098499,19.040602683678586,41.97884015730641,10-40 kHz,10-40 kHz,True,81.52909309516353
