pipeline,class,source,band,band_low_hz,band_high_hz,mean_pct,std_pct,n_segments_or_windows,n_candidate_windows
p0_c1_particles2SNR,4um,particle_labels,1-7 kHz,1000.0,7000.0,15.427760381529298,12.82856955072509,1645,
p0_c1_particles2SNR,4um,particle_labels,7-10 kHz,7000.0,10000.0,5.261076721824057,7.566244274532234,1645,
p0_c1_particles2SNR,4um,particle_labels,10-40 kHz,10000.0,40000.0,51.49193277148879,33.25817185828742,1645,
p0_c1_particles2SNR,4um,particle_labels,40-80 kHz,40000.0,80000.0,6.230657141309461,4.744701300255988,1645,
p0_c1_particles2SNR,4um,particle_labels,80 kHz-Nyq,80000.0,,17.869026496784134,13.29490461263755,1645,
p0_c1_particles2SNR,4um,dataset_noise_windows,0-1 kHz,0.0,1000.0,58.1005816593146,33.10435821671467,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,10.354420380143733,9.039699615216083,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,1.908689282250952,1.873541827587066,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,8.86135892658065,7.480092871634891,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,4.932679557273058,4.089318259150083,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,80 kHz-Nyq,80000.0,,15.842270194437006,12.733724905201088,425,425
p0_c1_particles2SNR,10um,particle_labels,0-1 kHz,0.0,1000.0,22.048541470661668,32.50990036064351,1638,
p0_c1_particles2SNR,10um,particle_labels,1-7 kHz,1000.0,7000.0,32.41913541336691,29.45294963911385,1638,
p0_c1_particles2SNR,10um,particle_labels,7-10 kHz,7000.0,10000.0,4.629381095936428,7.543681069628777,1638,
p0_c1_particles2SNR,10um,particle_labels,10-40 kHz,10000.0,40000.0,21.516789955595257,23.791838631817914,1638,
p0_c1_particles2SNR,10um,particle_labels,40-80 kHz,40000.0,80000.0,4.825834507463074,4.175368654561942,1638,
p0_c1_particles2SNR,10um,particle_labels,80 kHz-Nyq,80000.0,,14.560317556976669,11.824858275920114,1638,
p0_c1_particles2SNR,10um,dataset_noise_windows,0-1 kHz,0.0,1000.0,58.1005816593146,33.10435821671467,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,10.354420380143733,9.039699615216083,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,1.908689282250952,1.873541827587066,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,8.86135892658065,7.480092871634891,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,4.932679557273058,4.089318259150083,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,80 kHz-Nyq,80000.0,,15.842270194437006,12.733724905201088,425,425
p0_c1_clean_7_80_khz,2um,particle_labels,0-1 kHz,0.0,1000.0,0.030713690603213196,0.10089398143871868,320,
p0_c1_clean_7_80_khz,2um,particle_labels,1-7 kHz,1000.0,7000.0,0.4757106269888137,0.9459707872850585,320,
p0_c1_clean_7_80_khz,2um,particle_labels,7-10 kHz,7000.0,10000.0,9.058566385529007,15.504706510769736,320,
p0_c1_clean_7_80_khz,2um,particle_labels,10-40 kHz,10000.0,40000.0,81.86813301669734,17.809149283409905,320,
p0_c1_clean_7_80_khz,2um,particle_labels,40-80 kHz,40000.0,80000.0,8.259152469649399,7.004294182124405,320,
p0_c1_clean_7_80_khz,2um,particle_labels,80 kHz-Nyq,80000.0,,0.3077238105322218,0.2868607534136811,320,
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.010496781314759656,0.02935135199250343,8207,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,1.1214092672576863,2.1525196430931413,8207,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,11.366968546541624,8.990114238256771,8207,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,61.00417489657168,9.53025503902452,8207,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,25.541785917458814,6.377753898265417,8207,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,80 kHz-Nyq,80000.0,,0.955164590855434,0.3453559315677982,8207,8207
p0_c1_clean_7_80_khz,4um,particle_labels,0-1 kHz,0.0,1000.0,0.02472729214047091,0.12049444289373028,317,
p0_c1_clean_7_80_khz,4um,particle_labels,1-7 kHz,1000.0,7000.0,0.15971078216509488,0.7910697117075121,317,
p0_c1_clean_7_80_khz,4um,particle_labels,7-10 kHz,7000.0,10000.0,1.32817641483853,5.044130417072838,317,
p0_c1_clean_7_80_khz,4um,particle_labels,10-40 kHz,10000.0,40000.0,96.49512949062094,8.262559485177471,317,
p0_c1_clean_7_80_khz,4um,particle_labels,40-80 kHz,40000.0,80000.0,1.9221400192175218,4.750468178387236,317,
p0_c1_clean_7_80_khz,4um,particle_labels,80 kHz-Nyq,80000.0,,0.07011600101744775,0.22351758223689439,317,
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.011108792256413608,0.03242705341609286,4275,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,1.1180969783258832,2.137915999567225,4275,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,11.382018762002586,8.988315513726803,4275,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,61.01944284098499,9.524886361800151,4275,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,25.51518937807263,6.373058992400296,4275,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,80 kHz-Nyq,80000.0,,0.9541432483574858,0.3450224433387772,4275,4275
p0_c1_clean_7_80_khz,10um,particle_labels,0-1 kHz,0.0,1000.0,0.024674940953004647,0.1055048559047233,258,
p0_c1_clean_7_80_khz,10um,particle_labels,1-7 kHz,1000.0,7000.0,1.8294477519839287,2.9432418597590964,258,
p0_c1_clean_7_80_khz,10um,particle_labels,7-10 kHz,7000.0,10000.0,11.216925370654918,13.750900884951852,258,
p0_c1_clean_7_80_khz,10um,particle_labels,10-40 kHz,10000.0,40000.0,78.76543282346681,18.86088416253792,258,
p0_c1_clean_7_80_khz,10um,particle_labels,40-80 kHz,40000.0,80000.0,7.921543361725293,7.36670313850312,258,
p0_c1_clean_7_80_khz,10um,particle_labels,80 kHz-Nyq,80000.0,,0.24197575121603085,0.30169142501140844,258,
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.011108792256413608,0.03242705341609286,4275,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,1.1180969783258832,2.137915999567225,4275,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,11.382018762002586,8.988315513726803,4275,4275
